session_num,assignment,player_count,robot_count,trust_A,trust_B,trust_O,A_count,B_count
0,-1,-1,-1,0.13,0.44,0.7,-1,-1
1,B,9,6,0.6,0.44,0.75,8,6
2,B,8,7,0.7,0.55,0.7,9,7
3,A,9,9,0.9,0.55,0.75,9,4
4,B,9,7,0.9,0.65,0.75,10,7
5,A,10,10,0.95,0.7,0.8,10,10
6,B,10,6,0.95,0.8,0.83,10,6
7,B,10,7,0.99,0.8,0.87,10,7
8,A,10,8,0.8,0.9,0.82,8,6
9,B,9,5,0.9,0.87,0.85,10,5
10,B,10,9,0.92,0.88,0.88,9,9
11,B,10,9,0.9,0.88,0.88,8,9
12,A,10,10,0.92,0.8,0.85,10,6
13,B,9,2,0.92,0.7,0.87,10,2
14,A,10,10,0.95,0.7,0.89,10,5
15,B,9,3,0.95,0.64,0.85,10,3
